track_name,date_listened,artist_name,ms_played
The Song Of The White Wolf,2022-10-06T11:43:00Z,Sonya Belousova,225226
The Man,2022-10-06T11:56:00Z,The Killers,148730
Are 'Friends' Electric?,2022-10-07T19:21:00Z,Gary Numan,325200
Echo Beach,2022-10-07T19:32:00Z,Martha and the Muffins,69311
Are 'Friends' Electric?,2022-10-08T18:20:00Z,Gary Numan,195581
Are 'Friends' Electric?,2022-10-08T19:00:00Z,Gary Numan,130888
Prologue (Animal Crossing),2022-09-08T12:45:00Z,GlitchxCity,182
Echo Beach,2022-10-08T19:01:00Z,Martha and the Muffins,64367
Cars,2022-10-08T19:21:00Z,Gary Numan,103225
Cars,2022-10-09T07:55:00Z,Gary Numan,135854
Complex,2022-10-09T08:11:00Z,Gary Numan,137555
Complex,2022-10-10T13:42:00Z,Gary Numan,55108
She's Got Claws,2022-10-10T13:44:00Z,Gary Numan,125503
'Helden' - German Version 1989 Remix; 2002 Remaster,2022-10-10T13:48:00Z,David Bowie,220706
Stay Together For The Kids,2022-10-10T13:52:00Z,blink-182,239333
It's Showtime!,2022-10-10T13:52:00Z,Toby Fox,2572
Ask Me Anything,2022-10-10T13:55:00Z,The Strokes,189973
"New York, I Love You But You're Bringing Me Down",2022-09-08T12:45:00Z,LCD Soundsystem,798
Bird That Carries You Over A Disproportionately Small Gap,2022-10-10T13:55:00Z,Toby Fox,25098
Heroes And Villains,2022-10-10T14:06:00Z,Brian Wilson,11446
Hurricane Herman,2022-10-10T14:21:00Z,Thomas Newman,720
I Am What I Am,2022-10-10T14:21:00Z,Gloria Gaynor,316
I'm On My Way,2022-10-10T14:21:00Z,Rich Price,1135
One Last Time - 44 Remix,2022-10-10T14:21:00Z,Christopher Jackson,742
Nice Weather For Ducks - Radio Edit,2022-10-10T14:21:00Z,Lemon Jelly,1048
Somebody New,2022-10-10T14:21:00Z,Swim Mountain,1233
I Know A Girl,2022-10-10T14:24:00Z,The Preatures,227946
Up All Night,2022-10-10T14:36:00Z,The War On Drugs,60789
The Train And The River,2022-09-08T12:45:00Z,Jimmy Giuffre,23
Super Cool (Feat. Robyn & The Lonely Island),2022-10-12T20:06:00Z,Beck,951
Super Cool (Feat. Robyn & The Lonely Island),2022-10-12T20:09:00Z,Beck,203790
Baby Seat,2022-10-12T20:21:00Z,Barenaked Ladies,812
New York Morning,2022-10-12T22:09:00Z,Elbow,319907
Cheer Up,2022-10-12T22:12:00Z,Reel Big Fish,163933
Green Light - Chromeo Remix,2022-10-12T22:16:00Z,Lorde,247933
Tangerine,2022-10-12T22:20:00Z,Glass Animals,200583
Some Nights,2022-10-12T22:20:00Z,fun.,272066
Out In The Twilight,2022-10-12T22:31:00Z,Tally Hall,2252
The Box,2022-10-13T12:00:00Z,Johnny Flynn,579
Rolodex The Seasons,2022-09-08T12:45:00Z,The Go! Team,23
The Box,2022-10-13T12:03:00Z,Johnny Flynn,216746
The Birds & The Bees,2022-10-13T12:08:00Z,The 2 Bears,261653
Close To You,2022-10-13T12:21:00Z,Dayglow,192541
Treat People With Kindness,2022-10-13T12:29:00Z,Harry Styles,197346
Artificial Intelligence,2022-10-13T12:33:00Z,Tom Cardy,237714
Take Us Back,2022-10-13T12:37:00Z,Alela Diane,283240
Steal My Sunshine (Feat. Cherry Glazerr),2022-10-13T12:41:00Z,Portugal. The Man,240002
The Dying Song,2022-10-13T12:52:00Z,Montaigne,188750
Coming Up - Remastered 2011,2022-10-13T12:57:00Z,Paul McCartney,231880
Wind Cries Mary,2022-10-13T13:01:00Z,Jamie Cullum,216120
Young Turks - 2008 Remaster,2022-09-08T12:45:00Z,Rod Stewart,299510
Learnalilgivinanlovin,2022-10-13T13:03:00Z,Gotye,149477
Delirious Love,2022-10-13T13:06:00Z,Neil Diamond,192173
Honeybody,2022-10-13T13:06:00Z,Kishi Bashi,5730
Alloway Grove,2022-10-13T13:27:00Z,Paolo Nutini,298306
(Walking Through The) Sleepy City,2022-10-13T13:55:00Z,The Parting Gifts,94155
(Walking Through The) Sleepy City,2022-10-13T16:02:00Z,The Parting Gifts,25294
Parade,2022-10-13T16:08:00Z,Kevin Morby,309075
